movieId,movie_idx,title_clean,genres_clean,corpus
122,0,Boomerang,comedy romance,boomerang comedy romance comedy romance dating nudity (topless - brief) can't remember
185,1,"Net, The",action crime thriller,"net, the action crime thriller action crime thriller computers internet irwin winkler sandra bullock computer cracker cyber-blackmail/intimidation cyber-intimidation hackers hacking action crime thriller dennis miller diane baker jeremy northam ken howard wendy gazelle praetorians"
231,2,Dumb & Dumber,comedy,dumb & dumber comedy comedy jeff daniels jim carrey stupid shit!! infantile very funny hilarious comedy carey fantastic! own buddy movie goofy irreverent madcap quirky raunchy silly funny as hell so dumb it's funny get theater tv vhs most annoying sound? funniest film ever not funny
292,3,Outbreak,action drama sci fi thriller,outbreak action drama sci fi thriller action drama sci fi thriller biology gross disease futuristmovies.com overrated formulaic sdf seen at the cinema want morgan freeman wolfgang petersen
316,4,Stargate,action adventure sci fi,stargate action adventure sci fi action adventure sci fi egypt space time travel aliens ancient egyptians pyramids ra guilty pleasure futuristmovies.com bibliothek atmospheric lavish rousing slick sweeping tense sci-fi seen at the cinema divx1 overrated watch-again jb's dvds time-travel everything is good great sci fi archaeology mythology
329,5,Star Trek: Generations,action adventure drama sci fi,star trek: generations action adventure drama sci fi action adventure drama sci fi far future space trekie enterprise futuristmovies.com gene roddenberry based on a tv show star trek owned seen more than once tv patrick stewart sci-fi william shatner whoopi goldberg franchise
355,6,"Flintstones, The",children comedy fantasy,"flintstones, the children comedy fantasy children comedy fantasy animation remade as live action based on a tv show based on tv series dinosaur flying sitcom"
356,7,Forrest Gump,comedy drama romance war,forrest gump comedy drama romance war comedy drama romance war psychology tom hanks seen more than once lord of the ring life in general love lt. dan oscar (best actor) oscar (best picture) biopic shrimp vietnam amputee mentally impaired great acting war owned oscar (best directing) pg-13 need to buy great drama well done drama robert zemeckis must see romance imdb top 250 based on a book overrated sappy s m a r t      movie!!! hell ya! gary sinise afi #71 best picture bittersweet earnest heartwarming mothers and sons nostalgic rags to riches saintly fools sentimental sweeping unrequited love whimsical classic comedy good dialogues good story favorite eric's dvds dvd seen at the cinema bechdel test:fail biographical view related:forrest gump related:technique:forrest gump 2 based on book oscar (best editing) oscar (best effects - visual effects) oscar (best writing - screenplay based on material from another medium) saturn award (best fantasy film) saturn award (best supporting actor) tumey's dvds buy box chocolate chocolates jfk journey ping pong run classic own football very powerfulll..; tom hanks very big... jb's dvds special anthology comedy mental excellent movie funny sad but good oscar winner american history history united states vietnam war book usa melodrama silly us culture robin wright penn sally field us history a mess - but a kinda cool mess afi 100 afi 100 (cheers) afi 100 (movie quotes)
362,8,"Jungle Book, The",adventure children romance,"jungle book, the adventure children romance adventure children romance 5 animated classic bad remake adapted from:book author:rudyard kipling jude law"
364,9,"Lion King, The",adventure animation children drama musical,"lion king, the adventure animation children drama musical adventure animation children drama musical talking animals disney educational fun meaningful children father-son relationship lions very beautifull only problem is that the story is too short kids animation coming of age disney's best desenho good very good for kids ihq favorite own bearable disney plagarized eric's dvds seen more than once disney animated feature hereditary patriarchy ostensibly for kids but: prejudice:sexism; promotion of dictatorship satanically evil want oscar (best music - original score) oscar (best music - original song) poetic justice tumey's vhs avi baptism whoopi goldberg literature the circle of life hard to rate (personal) animals musical infantil africa 70mm animated hippy elton john best disney movie"
370,10,Naked Gun 33 1/3: The Final Insult,action comedy,naked gun 33 1/3: the final insult action comedy action comedy police arma nua comedy slapstick crap peter segal parody zaz boring funny as hell leslie neilsen can't remember nazi i'm embarassed to find this funny seen under duress seen with my parents screwball foqam
377,11,Speed,action romance thriller,speed action romance thriller action romance thriller action keanu reeves sandra bullock want it full of adrenaline. a must watch heart pumping movie bomb chase bus jan de bont speed forceful rousing tense visceral seen more than once seen at the cinema bechdel test:fail want dennis hopper explosions highway injuries keanu reaves thriller space opera afi 100 (thrills)
420,12,Beverly Hills Cop III,action comedy crime thriller,beverly hills cop iii action comedy crime thriller action comedy crime thriller let the other two beverly hills cops down even worse than the second. sadly comedy eddie murphy sequel fever
466,13,Hot Shots! Part Deux,action comedy war,hot shots! part deux action comedy war action comedy war charlie sheen comedy parody zaz cool seen at the cinema watch again can't remember watch silly humor flauw onderbroekenlol
480,14,Jurassic Park,action adventure sci fi thriller,jurassic park action adventure sci fi thriller action adventure sci fi thriller based on a book biology michael crichton scenic science speilberg good for a rainy day if there is nothing on the box action dinosaurs steven spielberg cloning amazing fx spielberg/lucas dinosaur boooo scifi futuristmovies.com not that good adventure spielberg the best of jurassic park nostalgia read the book oscar winner genetics creepy humorous menacing ominous slick stylized tense sci-fi cool but freaky owned seen at the cinema suspense adapted from:book author:michael crichton herds of cgi animals divx1 based on book oscar (best effects - sound effects editing) oscar (best effects - visual effects) oscar (best sound) saturn award (best director) saturn award (best science fiction film) saturn award (best special effects) saturn award (best writing) cgi groundbreaking effects jeff goldblum velocoraptors good fx drive in tumey's dvds buy ian's fav tyrannosaurus rex rate thriller wayne knight book drama horror usa amazing cgi franchise foqam afi 100 (thrills)
520,15,Robin Hood: Men in Tights,comedy,robin hood: men in tights comedy comedy parody can't remember very funny! mel brooks movie mel brooks at his worst spoof mel brooks funny when your 10. less funny when your not. good funny medieval ok type historical comedy don't remember comedy cary elwes rewatch for rating borscht belt - jews buy now!
539,16,Sleepless in Seattle,comedy drama romance,sleepless in seattle comedy drama romance comedy drama romance girlie movie meg ryan tom hanks empire state building nora ephron good romantic comedies soundtrack boring can't remember romance want chick flick intolerable chick flick slow and predictable plot watch i own this ownable seen more than once
586,17,Home Alone,children comedy,home alone children comedy children comedy family christmas to see comedy crime latch key kids for kids macaulay culkin erlend's dvds seen more than once xmas theme(?) sadistic get homosexuality kid on his own childhood classics classic
588,18,Aladdin,adventure animation children comedy musical,aladdin adventure animation children comedy musical adventure animation children comedy musical disney dvd collection want to own fun excellent animation hard to rate fairy tale katottava own bearable disney hard to rate (personal) seen more than once young kids seen at the cinema cartoon avi disney animated feature divx1 coming of age good versus evil oscar (best music - original score) oscar (best music - original song) rags to riches family comedy musical (s)vcd action adventure animated robin williams aliens artistic animation disney arabs middle east stereotypes cav
589,19,Terminator 2: Judgment Day,action sci fi,terminator 2: judgment day action sci fi action sci fi action sci-fi dvd seen more than once time travel nuclear war probably the best sci-fi film ever made schwarzenegger excellent action movie one of the best arnold schwarzenegger robots scifi masterpiece library motorcycle futuristmovies.com james cameron imdb top 250 bibliothek narrated explodeytime kick ass apocalypse classic redemption sequel better than original end of the world heroic mission menacing paranoid robots and androids slick stylized tense visceral best ever realistic tough female emotional and heroic memorable characters hasta la vista eric's dvds seen at the cinema suspense android(s)/cyborg(s) killer-as-protagonist murder divx1 dystopic future oscar (best effects - sound effects editing) oscar (best effects - visual effects) oscar (best makeup) oscar (best sound) saturn award (best actress) saturn award (best director) saturn award (best performance by a younger actor) saturn award (best science fiction film) saturn award (best special effects) cgi groundbreaking effects dystopia incredible avi get androids governator television jb's dvds better than original chase future scifi time-travel rebels france thriller usa mayhem but in evil liquid metal robot form like crack well-done time travel 70mm rated r violence schwarzenneger character now controlled by good afi 100 (movie quotes) afi 100 (thrills) computers cyborgs
594,20,Snow White and the Seven Dwarfs,animation children drama fantasy musical,snow white and the seven dwarfs animation children drama fantasy musical animation children drama fantasy musical disney classic national film registry breakthroughs usa film registry movie innovator afi #49 fairy tale almost favorite own disney animated feature subgenre:fairy tale good versus evil heroine animation can't remember (s)vcd classic animated tale snakes animated childhood classics original medium was better fairy-tale afi 100
616,21,"Aristocats, The",animation children,"aristocats, the animation children animation children disney disney animated feature france greed animated jazz paris don't remember"
110,22,Braveheart,action drama war,braveheart action drama war action drama war bullshit history medieval bloodshed hero mel gibson scotland a very touching movie. great role played by mel gibson as william wallace overrated divx great action and tear jeker action drama biopic oscar owned oscar (best cinematography) oscar (best directing) oscar (best picture) best movie ever made brutal epic stirring gibson kilts classic adventure guerra imdb top 250 shit on a stick history so romantic. earnest forceful lavish passionate poignant sweeping visceral nudity (topless) best war films great movie eric's dvds mel gibson down grade want to see again visual dvd freedom 1 want biography adult sad part quite shocking historical tumey's dvds movie for the kids war don't remember cavalry charge breathtaking england revenge loved it oscar winner period sword fight tribal dvd-video violent afi 100 (cheers) afi 100 (thrills) evangelical inspiration
151,23,Rob Roy,action drama romance war,rob roy action drama romance war action drama romance war one of my favorites hulu atmospheric earthy literate passionate rousing sweeping tense can't remember sword fighting rape watch violent tribal
