movieId,title,genres,year,title_clean,genre_list,genre_action,genre_adventure,genre_animation,genre_children,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_fantasy,genre_film_noir,genre_horror,genre_imax,genre_musical,genre_mystery,genre_romance,genre_sci_fi,genre_thriller,genre_war,genre_western
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995.0,Toy Story,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Jumanji (1995),Adventure|Children|Fantasy,1995.0,Jumanji,"['Adventure', 'Children', 'Fantasy']",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,Grumpier Old Men (1995),Comedy|Romance,1995.0,Grumpier Old Men,"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995.0,Waiting to Exhale,"['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5,Father of the Bride Part II (1995),Comedy,1995.0,Father of the Bride Part II,['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Heat (1995),Action|Crime|Thriller,1995.0,Heat,"['Action', 'Crime', 'Thriller']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Sabrina (1995),Comedy|Romance,1995.0,Sabrina,"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Tom and Huck (1995),Adventure|Children,1995.0,Tom and Huck,"['Adventure', 'Children']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Sudden Death (1995),Action,1995.0,Sudden Death,['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,GoldenEye (1995),Action|Adventure|Thriller,1995.0,GoldenEye,"['Action', 'Adventure', 'Thriller']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,"American President, The (1995)",Comedy|Drama|Romance,1995.0,"American President, The","['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995.0,Dracula: Dead and Loving It,"['Comedy', 'Horror']",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Balto (1995),Animation|Children,1995.0,Balto,"['Animation', 'Children']",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Nixon (1995),Drama,1995.0,Nixon,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,Cutthroat Island (1995),Action|Adventure|Romance,1995.0,Cutthroat Island,"['Action', 'Adventure', 'Romance']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Casino (1995),Crime|Drama,1995.0,Casino,"['Crime', 'Drama']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Sense and Sensibility (1995),Comedy|Drama|Romance,1995.0,Sense and Sensibility,"['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18,Four Rooms (1995),Comedy|Drama|Thriller,1995.0,Four Rooms,"['Comedy', 'Drama', 'Thriller']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19,Ace Ventura: When Nature Calls (1995),Comedy,1995.0,Ace Ventura: When Nature Calls,['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,Money Train,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
21,Get Shorty (1995),Action|Comedy|Drama,1995.0,Get Shorty,"['Action', 'Comedy', 'Drama']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995.0,Copycat,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23,Assassins (1995),Action|Crime|Thriller,1995.0,Assassins,"['Action', 'Crime', 'Thriller']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24,Powder (1995),Drama|Sci-Fi,1995.0,Powder,"['Drama', 'Sci-Fi']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
25,Leaving Las Vegas (1995),Drama|Romance,1995.0,Leaving Las Vegas,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
26,Othello (1995),Drama,1995.0,Othello,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,Now and Then (1995),Drama,1995.0,Now and Then,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,Persuasion (1995),Drama|Romance,1995.0,Persuasion,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
29,"City of Lost Children, The (Cit̩ des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995.0,"City of Lost Children, The (Cit̩ des enfants perdus, La)","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995.0,Shanghai Triad (Yao a yao yao dao waipo qiao),"['Crime', 'Drama']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,Dangerous Minds (1995),Drama,1995.0,Dangerous Minds,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,12 Monkeys (Twelve Monkeys) (1995),Sci-Fi|Thriller,1995.0,12 Monkeys (Twelve Monkeys),"['Sci-Fi', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
33,Wings of Courage (1995),Adventure|IMAX|Romance,1995.0,Wings of Courage,"['Adventure', 'IMAX', 'Romance']",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
